Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,1.37250239634978,1.69766312411754,1.7843923018448,1.21460632498981,1.63389324656947,2.82937174604224,2.27925799913782,0.701718914339217
Bangladesh,BGD,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,3.14662114582846,1.73098368046026,1.81456130186139,1.7501253552406,1.98538101281744,1.84035397743223,2.16241811992912,1.16069439507612
Bhutan,BTN,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,6.08628166834268,3.80914861460051,3.65545423639396,4.20267085502313,5.10155120881141,6.32768836063165,5.44837169242111,4.20706807865559
India,IND,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,2.47747857892658,3.15995119003195,3.59559187581085,4.06429747250986,3.89165109332806,4.0111352655606,4.61593252634138,3.19998995400312
Maldives,MDV,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,10.5019359572184,9.83969906738142,11.1585193248544,10.8497584311844,10.5387067454168,10.0930219692324,10.5366959675872,4.32894315001036
Nepal,NPL,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,7.95201540498489,7.74704414076486,8.67528448007122,6.33045342291167,7.49339114502705,6.25074209158927,5.15310843006844,2.4966263369761
Pakistan,PAK,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,3.3315028372689,4.31943059384838,5.43375426761548,5.64673418306119,5.14123982734923,4.32457699783656,5.17109832783101,2.38972962157585
Sri Lanka,LKA,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,8.40617837034609,8.30537740605355,9.35388776808494,9.7902355265832,9.48379308731092,9.26581828380392,9.91776309490191,4.39486200973821
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,
Last Updated: 10/26/2023,,,,,,,,,,,
